Restaurant,Overall Rating,Cleaned Review,Review Rating,Sentiment Score,Sentiment,Positive %,Neutral %,Negative %
Pachamama Coffee Davis,4.5,best quality coffee davis reasonable price smaller bright open shop counter chair along side place student come study got togo cortado batista offered sparkling water dont get often sweet rich warm think temple mishka better coffee ship vibe id favorite cup,5,0.4225,Positive,100.0,0.0,0.0
Pachamama Coffee Davis,4.5,cute place came fall seasonal menu tried honeybear latte say addictive thats stop worker friendly space suitable reading work etc get honeybear latte disappointed,5,0.135,Positive,100.0,0.0,0.0
Pachamama Coffee Davis,4.5,double checked ordered make sure matcha ceremonial strong drink tasted like milk put little matcha syrup like syrup straight sugar cant even taste made sure ask beforehand straight lying worst drink ive ever,1,0.07731481481481481,Positive,100.0,0.0,0.0
Pachamama Coffee Davis,4.5,pachamama amazing coffee since already two coffee day got matcha latte matcha taste high quality milk frothed perfectly deliciously earthy creamy service friendly fast place huge feel open vibe chill great spot grab drink sit work,5,0.441875,Positive,100.0,0.0,0.0
Pachamama Coffee Davis,4.5,nice place good coffee order take away coffee shop look nice quiet stay friendly staff quick attention couple people u line didnt wait much good location next restaurant wide variety service shop,5,0.3564814814814815,Positive,100.0,0.0,0.0
Blaze Pizza,4.4,usually love blaze pizza one leave review recent visit prompted point ordered one topping spinach barely even one topping least ensure satisfactory amount available asked said needed pay cent extra outside mispelled name directly spelling undercooked pie understand establishment run college student stuff seems like bare minimum ill think twice coming back one old gotos,3,0.03333333333333335,Positive,80.0,0.0,20.0
Blaze Pizza,4.4,ordered gluten free pizza vegan cheese due dietary restriction gluten free crust wasnt bad vegan cheese awful slimy stick teeth wouldnt recommend additionally customer service almost nonexistent try call automated message directs order website impossible talk staff member phone inconvenient customer service question,2,-0.3273809523809524,Negative,80.0,0.0,20.0
Blaze Pizza,4.4,everyone nice took great care friend would definitely come back supervisor kevin nice easy talk jill especially nice reached u constantly check u,5,0.4291666666666667,Positive,80.0,0.0,20.0
Blaze Pizza,4.4,love blaze pizza usually today closed early even time close youre going adhere rule around busy line rush guess like oh well let close early,3,0.075,Positive,80.0,0.0,20.0
Blaze Pizza,4.4,issue blaze keto crust pizza im giving star honestly believe build best way eat pizza around davis huge range topping pretty friendly anybody could walk door offer gluten free crust always ask need change glove great someone who celiac offer vegan cheese vegan meatball well huge array veggie topping olive jalepenos chopped garlic roasted garlic clove onion mushroom seasonal veggie ive seen squash brussels youll amazed good pizza pepper arugula finish there tonne option offer four sauce classic spicy marinara cream sauce garlic pesto love garlic pesto variety meat sausage pepperoni ham bacon meatball chicken plenty cheese highly recommend getting fresh mozzarella shredded also offer gorgonzola feta ricotta parmesan im sure im missing topping im sure change time time think youll gather wont short option there keto crust really detailed review blog myfairfitness youre curious full thought ingredient effect feel free check think much include review blaze whole say youre strict keto ingredient arent friendly youre trying stay low carbs fine texture ok anyway cooked cauliflower turn bitter definitely make better keto crust home crispy little smaller worth extra dollar opinion effect stomach good nice option could done better,4,0.29752192982456144,Positive,80.0,0.0,20.0
The Posh Bagel,4.4,bad experience posh attended girl bang always rude whenever come ive tried place time customer service terrible decided finally make review furious food prepared poorly put onion specifically said make throw consume paid extra fresh avocado got black old avocado going give customer rotten fruit vegetable bagel came item want example onion bean sprout still placed first time occurred multiple time paid quality food ruined appetite terrible customer service terrible food posh might getting money,1,-0.30128205128205127,Negative,80.0,0.0,20.0
The Posh Bagel,4.4,decent bagel morning coffeetea shop feel like inout establishment chairstables located inside youd like stay bagel delicious great portion cream cheese applied bagel chai latte good concentrate overall price decent compared place friendly fast service,4,0.4260416666666667,Positive,80.0,0.0,20.0
The Posh Bagel,4.4,many selection iced white chocolate mocha amazing love bacon cheese bagel,4,0.4,Positive,80.0,0.0,20.0
The Posh Bagel,4.4,came quick breakfast got everything bagel egg cheese way much egg took wasnt seasoned bagel fine service quick plenty seating,4,0.30666666666666664,Positive,80.0,0.0,20.0
The Posh Bagel,4.4,place isnt used sadly recent experience woeful recent day rainy sumday davis downtown wonderful bustling day coffee shop full people perusing used bookstore practically street parking whatsoever perfectly fine citizen davis make worthwhile stepping posh bagel wasnt hardly line couldnt figure line go begin back table full even though least seven people behind different counter discernible designated line counter place order people paying cashier one employee behind counter asked need help one place order talking would bad student aged employee mature adult employee ended walking five minute wondering gon na eat one wonderful bagel recommend place find place people greet ask might able help digestible desire although place busy ghost town well,2,0.11125,Positive,80.0,0.0,20.0
The Hotdogger,4.5,service great hot dog skinny long lot bread bun also mine ok didnt love wish meat come sort side kind unimpressed quality food price fair service quick overall ok,3,0.4133333333333333,Positive,100.0,0.0,0.0
The Hotdogger,4.5,great beef dog good conversation employee highly recommend jalapeno mustard,5,0.5533333333333333,Positive,100.0,0.0,0.0
The Hotdogger,4.5,delicious food affordable friendly owner staff best hotdog around highly recommend,5,0.63375,Positive,100.0,0.0,0.0
The Hotdogger,4.5,pleasure eat ivan treat speak made friend feel incredibly welcome first visit hotdog perfect order variety youll coming back try new flavor mustard,5,0.4372727272727272,Positive,100.0,0.0,0.0
The Hotdogger,4.5,much bun enough dog fry delicious door seating people watching made lack dog thai dog,3,0.39999999999999997,Positive,100.0,0.0,0.0
Zia's Delicatessen,4.7,welcoming environment super pleasant accommodating employee fantastic sandwich went check hype felt like walked little shop italy lot unique specialty italian food deli wall like pasta sauce imported candy young woman took order sweet patient question taking forever order got lucca copied another reviewer idea adding spicy roasted red pepper sauce brown mustard also added brie cheese delicious went ordered another one everything sounded good got siena maybe even better first sandwich close tie spumoni gelato waited also really good recommended place italian family area experience life hype award would leave davis without stopping least,5,0.3096354166666667,Positive,100.0,0.0,0.0
Zia's Delicatessen,4.7,kinda cramped sandwich shop veggie panini tasted like hadnt washed produce staff friendly overwhelmed forgetting side asking people theyd paid ignoring standing register needing aforementioned side lot grocery goody sale like unique pasta cooky well reasonable price,4,0.2375,Positive,100.0,0.0,0.0
Zia's Delicatessen,4.7,usually dont leave review best sandwich ive davis place hit miss really hit got turkey sandwich sourdough good ordered two bag chip received one besides complaint ill definitely ordering frequently im glad found gem,5,0.16874999999999998,Positive,100.0,0.0,0.0
Zia's Delicatessen,4.7,place hidden gem food delicious got toscana added lettuce tomato soooo good staff friendly attentive added plus imported italian good coolinteresting back soon,5,0.3760416666666666,Positive,100.0,0.0,0.0
Zia's Delicatessen,4.7,stopped first time door open service walked asked made breakfast sandwich girl front said dont open minute anyway attitude necessary neither fact open train people better customer service crossed street took money panera enjoyed breakfast option also noticed place doesnt gluten free option either anyway wont ever return place thanks,1,0.20555555555555555,Positive,100.0,0.0,0.0
Icekrimski Cafe,4.7,four u stumble upon little gelato shop heart downtown davis young lady served u treated u free sample smile ended getting regular size combine flavor opted honey lavender cappuccino flavor tasted good including coppa mista tiramisu creme brle dark chocolate definitely place go gelato nice lunch dinner movie,5,0.17124999999999999,Positive,100.0,0.0,0.0
Icekrimski Cafe,4.7,great place gelato davis small place thats semiattached varsity theater various flavor pistachio one favorite definitely prefer ice cream table outside sit,5,0.17500000000000002,Positive,100.0,0.0,0.0
Icekrimski Cafe,4.7,wow look like taste good riley williams professionally scooped ready pick didnt even charge wouldve given six star couldnt taste cause covid five star sorry,5,0.11999999999999997,Positive,100.0,0.0,0.0
Icekrimski Cafe,4.7,one best ice cream place ever tried absolutely adored honey lavender flavor little piece cone come order actually ended sampling lot flavor got two scoop everything delicious hard make decision,5,0.2868055555555556,Positive,100.0,0.0,0.0
Icekrimski Cafe,4.7,lot good flavor favorite always lychee,5,0.6,Positive,100.0,0.0,0.0
Philz Coffee,4.5,recently visited philz coffee davis thoroughly impressed coffee service atmosphere warm welcoming making great spot relax catch friend highlight visit amazing service ana one baristas incredibly friendly attentive taking time ensure coffee made perfection ana passion coffee evident way engages customer offering personalized recommendation making sure cup right genuine smile positive attitude made day youre davis looking fantastic coffee experience highly recommend stopping philz coffee sure say hi ana exceptional service make visit even enjoyable,5,0.4424807599807601,Positive,100.0,0.0,0.0
Philz Coffee,4.5,great spot get cool coffee choice hot cold selection well tea inside spacious nice atmosphere drinking brew plenty table chair likely youll find group studentsestudiantes studying well also outdoor seating option well,5,0.2333333333333333,Positive,100.0,0.0,0.0
Philz Coffee,4.5,drink always delicious love mint mojito iced coffee ro importantly baristas friendly kind helpful today accidentally ordered wrong location offered kindly remake drink house thank downtown davis philz,5,0.425,Positive,100.0,0.0,0.0
Philz Coffee,4.5,philz coffee davis ca delightful coffee enthusiast great vibe welcoming atmosphere also safe space lgbtq community member coffee undeniably tasty ample seating ensures relax enjoy brew highly recommended,5,0.572,Positive,100.0,0.0,0.0
Philz Coffee,4.5,visited old favorite coffee shop holiday disappointed see shop diteriated plant dead couch sink rip philz certainly afford spruce place coffee shop loved many take political flag serve great coffee recent election,3,0.18642857142857142,Positive,100.0,0.0,0.0
In-N-Out Burger,4.6,lovvve n burger fry closest get healthylike french fry ill suggest adding salt pepper fry tho also get double burger one one burger taste like eating bread opinion n wasnt busy surprised went around pm costumer service great like always lot bike parking spot,5,0.08333333333333333,Positive,80.0,20.0,0.0
In-N-Out Burger,4.6,first time year ive eating n location managed mess order wife stated ketchup mustard spread got ketchup spread receipt correct meanwhile ordered ketchup spread got ketchup mustard plus brown wilted lettuce also somehow managed make bun extra toast soggy,2,0.025000000000000005,Positive,80.0,20.0,0.0
In-N-Out Burger,4.6,always hit standard innout burger traffic get little crazy wish larger parking lot one vicinity pretty packed lunch dinner late night hour usually find seat inside outside wait time average depending time drive popular option sometimes line minute short minute get food staff courteous hard working ever want see fastfood done innout people literally get break work hard keep smile quite impressive burger best enjoyed within minute ordering dont need go time goto regular cheeseburger protein style lettuce instead bread grilled onion never fails enjoy,4,0.13472222222222222,Positive,80.0,20.0,0.0
In-N-Out Burger,4.6,lively far loaded burger ive n,5,0.1,Positive,80.0,20.0,0.0
In-N-Out Burger,4.6,tasty always bit crowded sunday afternoon though waited min order,5,0.0,Neutral,80.0,20.0,0.0
